iter	Passed	Remaining
455	838	1000
456	839	997
457	841	995
458	843	993
459	844	991
460	845	989
461	847	987
462	849	984
463	850	982
464	852	980
465	853	978
466	855	976
467	857	974
468	858	972
469	860	970
470	862	968
471	863	966
472	865	963
473	866	961
474	868	959
475	869	957
476	871	955
477	872	952
478	874	950
479	875	948
480	877	946
481	878	944
482	880	942
483	881	940
484	883	937
485	884	935
486	885	933
487	887	931
488	888	928
489	890	926
490	891	924
491	893	922
492	894	920
493	896	918
494	897	916
495	899	913
496	900	911
497	902	909
498	903	907
499	905	905
500	907	903
501	908	901
502	909	898
503	911	896
504	912	894
505	914	892
506	915	890
507	917	888
508	918	886
509	920	884
510	922	882
511	924	880
512	925	878
513	927	876
514	928	874
515	930	872
516	932	870
517	933	868
518	935	866
519	936	864
520	937	862
521	939	860
522	941	858
523	942	856
524	944	854
525	946	852
526	947	850
527	949	848
528	950	846
529	952	844
530	954	842
531	955	840
532	957	838
533	958	836
534	959	834
535	961	832
536	962	830
537	964	828
538	966	826
539	967	824
540	968	822
541	970	820
542	972	818
543	973	815
544	975	814
545	976	812
546	978	810
547	979	808
548	981	805
549	982	804
550	984	802
551	985	800
552	987	798
553	988	796
554	990	793
555	991	791
556	992	789
557	994	787
558	995	785
559	997	783
560	999	781
561	1000	779
562	1001	777
563	1003	775
564	1004	773
565	1006	771
566	1007	769
567	1009	767
568	1010	765
569	1012	763
570	1014	761
571	1015	759
572	1017	757
573	1018	755
574	1020	754
575	1021	751
576	1023	750
577	1024	748
578	1026	746
579	1027	744
580	1029	742
581	1030	740
582	1032	738
583	1033	736
584	1034	734
585	1036	732
586	1037	730
587	1039	728
588	1040	726
589	1042	724
590	1043	722
591	1045	720
592	1047	718
593	1048	716
594	1049	714
595	1051	712
596	1052	710
597	1054	708
598	1055	706
599	1056	704
600	1058	702
601	1059	700
602	1061	698
603	1062	696
604	1064	694
605	1065	692
606	1067	690
607	1068	688
608	1069	686
609	1071	685
610	1073	683
611	1074	681
612	1076	679
613	1078	677
614	1079	675
615	1081	673
616	1082	672
617	1084	670
618	1085	668
619	1086	666
620	1088	664
621	1089	662
622	1091	660
623	1092	658
624	1093	656
625	1095	654
626	1096	652
627	1098	650
628	1099	648
629	1101	646
630	1102	644
631	1103	642
632	1105	640
633	1106	638
634	1108	637
635	1109	635
636	1111	633
637	1113	631
638	1114	629
639	1115	627
640	1117	625
641	1118	623
642	1120	622
643	1121	620
644	1123	618
645	1124	616
646	1126	614
647	1127	612
648	1129	610
649	1130	608
650	1131	606
651	1133	604
652	1134	603
653	1136	601
654	1137	599
655	1139	597
656	1140	595
657	1142	593
658	1143	591
659	1145	589
660	1146	588
661	1148	586
662	1149	584
663	1151	582
664	1152	580
665	1154	578
666	1155	577
667	1157	575
668	1158	573
669	1160	571
670	1161	569
671	1162	567
672	1164	565
673	1165	563
674	1167	561
675	1168	560
676	1170	558
677	1171	556
678	1173	554
679	1174	552
680	1176	550
681	1177	549
682	1178	547
683	1180	545
684	1181	543
685	1183	541
686	1185	539
687	1186	538
688	1187	536
689	1189	534
690	1190	532
691	1191	530
692	1193	528
693	1194	526
694	1196	524
695	1197	523
696	1199	521
697	1200	519
698	1202	517
699	1203	515
700	1205	514
701	1206	512
702	1208	510
703	1209	508
704	1211	506
705	1212	505
706	1214	503
707	1215	501
708	1217	499
709	1219	497
710	1220	496
711	1221	494
712	1223	492
713	1225	490
714	1226	488
715	1228	487
716	1229	485
717	1230	483
718	1232	481
719	1233	479
720	1235	477
721	1236	476
722	1238	474
723	1239	472
724	1241	470
725	1242	468
726	1243	467
727	1245	465
728	1246	463
729	1248	461
730	1249	459
731	1251	458
732	1252	456
733	1254	454
734	1255	452
735	1257	451
736	1259	449
737	1260	447
738	1262	445
739	1263	444
740	1265	442
741	1267	440
742	1268	438
743	1269	436
744	1271	435
745	1272	433
746	1274	431
747	1275	429
748	1277	427
749	1278	426
750	1279	424
751	1281	422
752	1282	420
753	1284	418
754	1285	417
755	1287	415
756	1288	413
757	1289	411
758	1291	410
759	1292	408
760	1294	406
761	1295	404
762	1297	402
763	1298	401
764	1299	399
765	1301	397
766	1303	395
767	1304	394
768	1306	392
769	1307	390
770	1309	388
771	1310	387
772	1311	385
773	1313	383
774	1314	381
775	1316	379
776	1317	378
777	1319	376
778	1320	374
779	1322	372
780	1323	371
781	1324	369
782	1326	367
783	1327	365
784	1329	364
785	1330	362
786	1332	360
787	1333	358
788	1335	357
789	1336	355
790	1337	353
791	1339	351
792	1340	350
793	1342	348
794	1343	346
795	1345	344
796	1346	342
797	1348	341
798	1349	339
799	1351	337
800	1352	336
801	1354	334
802	1355	332
803	1357	330
804	1359	329
805	1360	327
806	1362	325
807	1363	323
808	1364	322
809	1366	320
810	1367	318
811	1369	316
812	1370	315
813	1372	313
814	1373	311
815	1374	310
816	1376	308
817	1378	306
818	1379	304
819	1380	303
820	1382	301
821	1383	299
822	1385	297
823	1386	296
824	1387	294
825	1389	292
826	1390	290
827	1392	289
828	1393	287
829	1395	285
830	1396	284
831	1398	282
832	1399	280
833	1401	278
834	1402	277
835	1403	275
836	1405	273
837	1406	271
838	1408	270
839	1409	268
840	1411	266
841	1412	265
842	1414	263
843	1415	261
844	1417	259
845	1418	258
846	1420	256
847	1421	254
848	1423	253
849	1424	251
850	1426	249
851	1427	247
852	1428	246
853	1430	244
854	1431	242
855	1433	241
856	1434	239
857	1436	237
858	1438	236
859	1439	234
860	1440	232
861	1442	230
862	1443	229
863	1445	227
864	1447	225
865	1448	224
866	1450	222
867	1451	220
868	1452	218
869	1454	217
870	1455	215
871	1457	213
872	1458	212
873	1459	210
874	1461	208
875	1463	207
876	1465	205
877	1466	203
878	1468	202
879	1469	200
880	1470	198
881	1472	196
882	1473	195
883	1475	193
884	1476	191
885	1477	190
886	1479	188
887	1481	186
888	1482	185
889	1484	183
890	1485	181
891	1487	180
892	1488	178
893	1490	176
894	1491	174
895	1492	173
896	1494	171
897	1496	169
898	1497	168
899	1499	166
900	1500	164
901	1502	163
902	1504	161
903	1505	159
904	1507	158
905	1509	156
906	1510	154
907	1511	153
908	1513	151
909	1514	149
910	1516	148
911	1517	146
912	1519	144
913	1520	143
914	1522	141
915	1524	139
916	1525	138
917	1527	136
918	1528	134
919	1530	133
920	1531	131
921	1533	129
922	1534	128
923	1535	126
924	1537	124
925	1538	122
926	1540	121
927	1542	119
928	1543	117
929	1545	116
930	1546	114
931	1548	112
932	1549	111
933	1551	109
934	1552	107
935	1554	106
936	1555	104
937	1557	102
938	1558	101
939	1560	99
940	1561	97
941	1562	96
942	1564	94
943	1566	92
944	1567	91
945	1569	89
946	1570	87
947	1571	86
948	1573	84
949	1574	82
950	1575	81
951	1577	79
952	1579	77
953	1580	76
954	1581	74
955	1583	72
956	1584	71
957	1586	69
958	1587	67
959	1589	66
960	1590	64
961	1592	62
962	1593	61
963	1595	59
964	1596	57
965	1598	56
966	1600	54
967	1602	52
968	1603	51
969	1605	49
970	1606	47
971	1608	46
972	1609	44
973	1611	43
974	1612	41
975	1614	39
976	1616	38
977	1617	36
978	1619	34
979	1620	33
980	1622	31
981	1623	29
982	1624	28
983	1626	26
984	1627	24
985	1629	23
986	1630	21
987	1632	19
988	1633	18
989	1635	16
990	1636	14
991	1638	13
992	1639	11
993	1641	9
994	1642	8
995	1644	6
996	1645	4
997	1646	3
998	1648	1
999	1650	0
