iter	MultiClass
0	1.597658032
1	1.58699984
2	1.575489609
3	1.567104743
4	1.558338889
5	1.551566232
6	1.537185786
7	1.529023422
8	1.521452968
9	1.515943065
10	1.502933069
11	1.492623628
12	1.481539904
13	1.471411027
14	1.460839225
15	1.452453126
16	1.445685644
17	1.435938302
18	1.42639478
19	1.418056404
20	1.408200105
21	1.403631914
22	1.399063331
23	1.393581361
24	1.386770387
25	1.37940394
26	1.372308948
27	1.367832683
28	1.36342174
29	1.357477462
30	1.352438492
31	1.3458243
32	1.338938987
33	1.333889322
34	1.329229365
35	1.321021334
36	1.309968679
37	1.304037092
38	1.29586242
39	1.288390358
40	1.280239665
41	1.275633998
42	1.270571378
43	1.264102255
44	1.257462424
45	1.252643588
46	1.246409334
47	1.241396093
48	1.238561672
49	1.234412905
50	1.229712589
51	1.223570274
52	1.220219802
53	1.215015794
54	1.210730203
55	1.205584786
56	1.199635728
57	1.194966122
58	1.191358634
59	1.187429517
60	1.181693719
61	1.1768303
62	1.172598324
63	1.166222829
64	1.162243697
65	1.157947458
66	1.153612917
67	1.150429508
68	1.147453371
69	1.144307029
70	1.139485115
71	1.133824215
72	1.129736739
73	1.123434052
74	1.11875257
75	1.115237283
76	1.109831312
77	1.104231595
78	1.100356776
79	1.096140213
80	1.091660269
81	1.087054682
82	1.084538181
83	1.082008484
84	1.078112609
85	1.074251475
86	1.068546174
87	1.062976018
88	1.057779161
89	1.052713811
90	1.047138831
91	1.04211418
92	1.038484743
93	1.034348655
94	1.032187113
95	1.029243499
96	1.025287841
97	1.020956872
98	1.014264043
99	1.011290335
100	1.006132897
101	1.001903022
102	0.9980384276
103	0.9937773428
104	0.9905088913
105	0.9857557514
106	0.9821559407
107	0.9772419346
108	0.9725922667
109	0.9698115056
110	0.9668298748
111	0.9622757186
112	0.9582754926
113	0.9549652985
114	0.9517487196
115	0.9482032901
116	0.9445230264
117	0.9405597435
118	0.9369166526
119	0.9328118665
120	0.928603544
121	0.9255001743
122	0.922770626
123	0.9181528714
124	0.9127337332
125	0.9097397703
126	0.9070446846
127	0.903624245
128	0.900663523
129	0.8974586968
130	0.8944975841
131	0.8904227536
132	0.8871472072
133	0.8825681108
134	0.8785448877
135	0.8750761855
136	0.8711610556
137	0.8690510073
138	0.8653343605
139	0.8611821621
140	0.8584753948
141	0.8557987027
142	0.8516946166
143	0.8473224495
144	0.8432675933
145	0.840329832
146	0.8372840061
147	0.8332378814
148	0.8294853273
149	0.8266464611
150	0.823931807
151	0.8187797678
152	0.8148453127
153	0.8106277461
154	0.8079831912
155	0.8038939406
156	0.8007022123
157	0.7974315386
158	0.7929635232
159	0.7898779887
160	0.785761564
161	0.782098554
162	0.7793779065
163	0.7763023231
164	0.7733586108
165	0.7697570198
166	0.7655403588
167	0.7631104147
168	0.7610722614
169	0.7589450317
170	0.7558924525
171	0.7532290977
172	0.7496491335
173	0.7469322977
174	0.7432240266
175	0.7409154522
176	0.7383793338
177	0.7349584503
178	0.7315524921
179	0.7280932448
180	0.7245817143
181	0.7214003423
182	0.7181813411
183	0.7148571471
184	0.7118060662
185	0.7089842641
186	0.7067824532
187	0.7045656461
188	0.7024501893
189	0.7001058379
190	0.697660442
191	0.6943229265
192	0.6921335805
193	0.6892432201
194	0.6869384171
195	0.6849440912
196	0.682346415
197	0.6794363411
198	0.6772098262
199	0.6750161335
200	0.6709559877
201	0.6688794773
202	0.6670585629
203	0.6639323166
