,Accuracy,Precision,Recall,F1
kNN,0.2000,0.2265,0.2000,0.2062
SVM_poly,0.1667,0.8729,0.1667,0.0700
SVM_RBF,0.1667,0.7070,0.1667,0.0687
GaussianProcess,0.1667,0.7611,0.1667,0.0798
DecisionTree,0.3000,0.2644,0.3000,0.2772
RandomForest,0.2167,0.2499,0.2167,0.2179
MLP,0.2000,0.2053,0.2000,0.2005
AdaBoost,0.1667,0.1673,0.1667,0.1573
GaussianNB,0.2667,0.1522,0.2667,0.1508
QDA,0.2667,0.5607,0.2667,0.1723
LDA,0.1000,0.2676,0.1000,0.0300
SGD,0.2000,0.2269,0.2000,0.1868
