,Accuracy,Precision,Recall,F1
kNN,0.6167,0.6558,0.6167,0.6186
SVM_poly,0.2000,0.7963,0.2000,0.1267
SVM_RBF,0.1833,0.3977,0.1833,0.0984
GaussianProcess,0.6667,0.7290,0.6667,0.6251
DecisionTree,0.6500,0.6982,0.6500,0.6569
RandomForest,0.8000,0.8312,0.8000,0.8006
MLP,0.7333,0.7663,0.7333,0.7362
AdaBoost,0.5833,0.6615,0.5833,0.5944
GaussianNB,0.6000,0.6381,0.6000,0.5702
QDA,0.1500,0.3759,0.1500,0.0441
LDA,0.4667,0.5091,0.4667,0.4706
SGD,0.4833,0.5448,0.4833,0.5018
