,Accuracy,Precision,Recall,F1
kNN,0.2167,0.2256,0.2167,0.2095
SVM_poly,0.1500,0.7062,0.1500,0.0397
SVM_RBF,0.1333,0.3098,0.1333,0.0848
GaussianProcess,0.2333,0.6928,0.2333,0.1100
DecisionTree,0.1000,0.0986,0.1000,0.0536
RandomForest,0.1833,0.2078,0.1833,0.1768
MLP,0.1167,0.1304,0.1167,0.1110
AdaBoost,0.1333,0.1907,0.1333,0.1412
GaussianNB,0.2000,0.2322,0.2000,0.1800
QDA,0.1667,0.2240,0.1667,0.1695
LDA,0.1833,0.1763,0.1833,0.1724
SGD,0.2833,0.3531,0.2833,0.2852
